Site,SubSite,CaptureDate,Species,IndividualID,Sex,MassG,SVLmm,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
LostHorse,1,4/28/21,RALU,900111880425584,F,21,67,Y,0,2100400179,neg,0,21ARMI0981,"Has RR2 (but looks natural), Gave LR2",0,0,,
LostHorse,1,4/28/21,RALU,900111880425638,M,11.8,49,Y,0,2100400180,pos,12279.0677097003,21ARMI0962,Gave RR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425621,M,16,55,Y,0,2100400181,pos,395.913072906922,21ARMI0998,Gave RR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425309,,16.3,56,Y,0,2100400182,pos,1329.81437435889,21ARMI0967,Gave RR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425319,F,28.2,66,Y,0,2100400183,pos,13.957356030782,21ARMI0961,Gave RR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425767,F,30.3,70,Y,0,2100400184,pos,21587.7960425043,21ARMI0963,Gave RR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425820,M,17.3,53,Y,0,2100400185,neg,0,,Has LR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425866,F,21.3,63,Y,0,2100400186,pos,189.273937051385,,Has LR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425616,M,9.7,45,Y,0,2100400199,pos,309.995501214432,21ARMI1054,Gave RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425617,F,23.2,65,Y,0,2100400200,pos,12179.0677847911,21ARMI1046,Gave RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425608,F,26.9,70,Y,0,2100400202,pos,11253.4157602359,21ARMI1072,Gave RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425606,F,31,71,Y,0,2100400203,pos,306.842991407636,21ARMI1073,Gave RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425613,F,23.4,69,Y,0,2100400204,pos,9947.59786506392,21ARMI1080,Gave RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425172,M,14.9,59,Y,0,2100400205,pos,42702.155514406,21ARMI1070,Gave RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425610,M,14.1,51,Y,0,2100400206,pos,3157.5186248909,21ARMI1045,Gave RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425620,F,28.1,67,Y,0,2100400207,pos,247398.701287635,21ARMI1049,Gave RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425605,F,34.2,73,Y,0,2100400208,pos,61027.4556756508,21ARMI1077,Gave RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425602,M,9.6,49,Y,0,2100400209,pos,41271.7154437092,21ARMI1069,Gave RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425604,M,14.1,42,Y,0,2100400210,pos,5700.73311194566,21ARMI1058,Gave RR2,0,0,,
LostHorse,1,4/27/21,RALU,900111880425803,F,30,73,Y,0,2100400211,pos,359.642924249462,,Has LR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425574,M,14.4,51,Y,0,2100400213,neg,0,,Has RR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425568,M,14.4,54,Y,0,2100400214,pos,309.995501214432,,Has RR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425281,F,28.4,69,Y,0,2100400215,neg,0,,Has LR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425311,M,13.7,55,Y,0,2100400216,pos,1732.27921676698,,Has RR2,0,0,,
LostHorse,1,4/27/21,RALU,900111880425452,F,28.4,70,Y,0,2100400217,pos,4853.86351706121,,Has LR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880426808,M,18,58,Y,0,2100400218,pos,5011.837728979,,Has LR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425450,M,16.2,56,Y,0,2100400219,pos,8703.87997269873,,Has LR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425284,F,29.3,71,Y,0,2100400220,pos,398.077294102894,,Has LR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425595,F,27.2,71,Y,0,2100400221,neg,0,21ARMI0986,Gave RR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425308,F,25.7,65,Y,0,2100400222,pos,23700.2455759759,21ARMI0984,Gave RR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425612,F,12.3,54,Y,0,2100400225,pos,199.470475496365,21ARMI1018,Gave RR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425860,F,23.5,65,Y,0,2100400227,pos,199.606448941409,,Has LR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425459,M,16,57,Y,0,2100400229,pos,125583.215043043,,Has LR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425638,M,11.1,52,Y,0,2100400230,pos,38579.2616370294,,Has RR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425614,M,14.3,54,Y,0,2100400231,pos,125156.056157605,21ARMI1033,Gave RR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425872,M,15.9,60,Y,0,2100400232,pos,13619.1222152784,,Has LR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425172,M,14.9,54,Y,0,2100400233,pos,20694.7260832961,,Has LR2,0,0,,
LostHorse,1,4/27/21,RALU,900111880425311,M,13.4,54,Y,0,2100400235,pos,259.309040479891,21ARMI0978,Gave RR2,0,0,,
LostHorse,1,4/27/21,RALU,900111880425628,M,16.8,59,Y,0,2100400236,neg,0,21ARMI0988,"Gave RR2, shedding skin",0,0,,
LostHorse,1,4/27/21,RALU,900111880425637,M,16.1,57,Y,0,2100400237,pos,31.7477890044708,21ARMI0996,Gave RR2,0,0,,
LostHorse,1,4/27/21,RALU,900111880425313,M,16.5,58,Y,0,2100400238,pos,2417.32624330473,21ARMI0969,Gave RR2,0,0,,
LostHorse,1,4/27/21,RALU,900111880425777,M,15.9,55,Y,0,2100400239,pos,550.601622096323,21ARMI0997,Gave RR2,0,0,,
LostHorse,1,4/27/21,RALU,900111880425310,M,14.1,54,Y,0,2100400240,pos,13243.8834378882,21ARMI0974,Gave RR2,0,0,,
LostHorse,1,4/27/21,RALU,900111880425772,M,16.4,58,Y,0,2100400241,pos,1642.60878928825,21ARMI0973,Gave RR2,0,0,,
LostHorse,1,4/27/21,RALU,900111880425769,M,15.4,54,Y,0,2100400242,pos,15187.9935674869,21ARMI0980,Gave RR2,0,0,,
LostHorse,1,4/27/21,RALU,900111880425766,M,14.8,55,Y,0,2100400243,pos,5245.96456516693,21ARMI0972,Gave RR2,0,0,,
LostHorse,1,4/27/21,RALU,900111880425778,M,21.7,65,Y,0,2100400244,neg,0,,"Has LR2, RR2 missing",0,0,,
LostHorse,1,4/27/21,RALU,900111880425599,M,13.3,54,Y,0,2100400245,pos,1676.53455352844,21ARMI0975,Gave RR2,0,0,,
LostHorse,1,4/27/21,RALU,900111880425774,M,13.8,53,Y,0,2100400246,neg,0,21ARMI1000,Gave RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425560,M,17,52,Y,0,2100400247,pos,6453.46261809036,21ARMI1074,Gave RR2,0,0,,
