Site,SubSite,CaptureDate,Species,IndividualID,Sex,SVLmm,Age,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
ThreeCreeks,1,9/17/19,RACA,982126053064122,2,76.00,A,50.00,Y,1,1801100116,,,19ARMI1964,,0,0,,
ThreeCreeks,1,9/17/19,RACA,982126050416639,2,73.00,A,40.00,Y,1,1801100117,,,19ARMI2635,,0,0,,
ThreeCreeks,1,9/17/19,RACA,982126053072121,2,74.00,A,45.00,Y,1,1801100119,,,19ARMI2642,,0,0,,
DilmanMeadows,1,9/15/21,RAPR,982126053083520,99,41.00,SA,6.00,Y,1,2101100070,,,21ARMI0937,,0,0,,
DilmanMeadows,1,9/16/21,RAPR,982126059645544,99,41.00,SA,7.00,Y,1,2101100060,,,21ARMI0946,,0,0,,
ThreeCreeks,2,10/3/18,RACA,982000408830524,1,56.00,A,16.00,Y,0,1801100207,neg,0,18ARMI1518,,0,0,,
ThreeCreeks,2,10/2/18,RACA,985121018542594,1,62.00,A,29.50,Y,0,1801100214,neg,0,18ARMI1519,,0,0,,
ThreeCreeks,2,10/2/18,RACA,982000408830517,2,72.00,A,39.00,Y,0,1801100205,neg,0,18ARMI1522,,0,0,,
ThreeCreeks,2,10/3/18,RACA,982000408830523,1,58.00,A,18.50,Y,0,1801100211,neg,0,18ARMI1545,,0,0,,
ThreeCreeks,2,8/7/18,RACA,982126052302687,1,47.00,A,9.70,Y,0,1801100063,neg,0,18ARMI1571,,0,0,,
ThreeCreeks,2,10/4/18,RACA,982000408830581,99,48.00,SA,9.50,Y,0,1801100221,neg,0,18ARMI1575,,0,0,,
ThreeCreeks,2,8/8/18,RACA,982126052702078,2,51.00,A,11.00,Y,0,1801100010,neg,0,18ARMI1576,,0,0,,
ThreeCreeks,2,8/8/18,RACA,982126052714232,99,46.00,SA,7.00,Y,0,1801100069,neg,0,18ARMI1617,Dom veg is Marsh Cinquefoil,0,0,,
ThreeCreeks,2,8/7/19,RACA,982126053081294,2,63.00,A,26.51,N,0,1801100251,neg,0,19ARMI1969,,0,0,,
ThreeCreeks,2,9/19/19,RACA,982000408830653,2,75.00,A,50.00,Y,0,1801100016,neg,0,19ARMI1992,,0,0,,
ThreeCreeks,2,9/17/19,RACA,982126056701364,99,43.00,SA,5.00,Y,0,1801400013,neg,0,19ARMI1997,,0,0,,
ThreeCreeks,2,9/19/19,RACA,982126053029727,2,73.00,A,47.00,Y,0,1801100097,neg,0,19ARMI2634,,0,0,,
ThreeCreeks,2,8/8/19,RACA,982000408830568,1,61.00,A,27.00,N,0,1801100239,neg,0,19ARMI2637,,0,0,,
ThreeCreeks,2,8/7/19,RACA,982126053064122,2,70.00,A,40.00,Y,0,1801100248,neg,0,19ARMI2652,"LR2, RR2 appeared to be clipped previously, shorter than average.",0,0,,
ThreeCreeks,2,8/9/19,RACA,982000408088125,2,73.00,A,49.00,N,0,1801100237,neg,0,19ARMI2665,,0,0,,
DilmanMeadows,2,8/14/19,RAPR,989001002932175,2,65.00,A,22.00,N,0,1801100233,neg,0,19ARMI2723,,0,0,,
DilmanMeadows,2,8/12/20,RAPR,982126052714200,2,60.00,A,25.00,Y,0,1903200048,neg,0,20ARMI1185,Frog was in herbaceous plants on the creek bank.,0,0,,
ThreeCreeks,2,9/23/20,RACA,982126056701220,1,48.00,A,13.00,Y,0,2003100169,neg,0,20ARMI1222,,0,0,,
ThreeCreeks,2,9/23/20,RACA,982126053085310,2,72.00,A,52.00,Y,0,2003100175,neg,0,20ARMI1265,RR2 is inflamed.,1,0,,
ThreeCreeks,2,8/5/20,RACA,982126053064122,2,75.00,A,50.50,Y,0,1903100066,neg,0,20ARMI1277,Dom Veg = Sparganium,0,0,,
ThreeCreeks,2,9/23/20,RACA,982126059649370,1,52.00,A,15.00,Y,0,2003100172,neg,0,20ARMI1292,"Took LR2, lost toe. Took RR2.",0,0,,
ThreeCreeks,2,9/24/20,RACA,982126056701254,99,45.00,SA,10.00,Y,0,2003100165,neg,0,20ARMI1294,Dom Veg = Sparganium,0,0,,
DilmanMeadows,2,9/30/20,RAPR,989001002932216,2,61.00,A,32.00,Y,0,2003100133,neg,0,20ARMI1304,,0,0,,
ThreeCreeks,2,9/23/20,RACA,982126059644790,1,52.00,A,18.00,Y,0,2003100170,neg,0,20ARMI1328,,0,0,,
ThreeCreeks,2,9/22/20,RACA,982126053081294,2,70.00,A,40.50,Y,0,2003100177,neg,0,20ARMI1336,,0,0,,
ThreeCreeks,2,7/27/21,RACA,982126053064122,2,76.00,A,48.00,Y,0,2101100153,neg,0,21ARMI0826,Hg ID: 2018CERP02,0,0,,
ThreeCreeks,2,7/27/21,RACA,982126053085310,2,73.00,A,51.50,Y,0,2101100150,neg,0,21ARMI0833,Hg ID: 2018CERP02,0,0,,
ThreeCreeks,2,9/15/21,RACA,982126053064122,2,77.00,A,54.50,Y,0,2101100118,neg,0,21ARMI0840,Top Hg code 2018CERP02,0,0,,
DilmanMeadows,2,7/27/21,RAPR,982091066341580,2,55.00,A,16.00,Y,0,2003100084,neg,0,21ARMI0883,Other veg was herbaceous veg on creek bank. Frog hopped up into woody debris and into a tree to escape... Like a tree frog...,0,0,,
DilmanMeadows,2,7/27/21,RAPR,982091066341568,2,59.00,A,19.50,Y,0,2003100085,neg,0,21ARMI0889,Other veg was leaf litter and small woody debris.,0,0,,
DilmanMeadows,2,9/14/21,RAPR,982126056701316,2,61.00,A,21.00,Y,0,2101100081,neg,0,21ARMI0914,"Frog was basking on rock in creek channel, no veg",0,0,,
DilmanMeadows,2,9/15/21,RAPR,982126059655915,99,40.00,SA,6.00,Y,0,2101100069,neg,0,21ARMI0941,Basking at surface in pool formed by downed tree/branches.,0,0,,
DilmanMeadows,2,9/28/18,RAPR,989001002932175,2,55.00,A,19.50,Y,0,1801100196,pos,166.401450514978,18ARMI1525,,0,0,,
DilmanMeadows,2,9/28/18,RAPR,982000408830534,99,47.00,SA,8.50,Y,0,1801100198,pos,6524.2099382442,18ARMI1530,,0,0,,
DilmanMeadows,2,9/27/18,RAPR,982000408830601,99,44.00,SA,7.50,Y,0,1801100182,pos,996.116448605059,18ARMI1533,,0,0,,
DilmanMeadows,2,9/27/18,RAPR,982126053078066,2,56.50,A,20.50,Y,0,1801100178,pos,280.829862318421,18ARMI1534,,0,0,,
ThreeCreeks,2,10/3/18,RACA,982000408830593,1,56.00,A,18.00,Y,0,1801100216,pos,69938.1875172342,18ARMI1538,,0,0,,
ThreeCreeks,2,10/4/18,RACA,982000408830525,99,48.00,SA,10.50,Y,0,1801100228,pos,175.126965951021,18ARMI1539,,0,0,,
DilmanMeadows,2,9/28/18,RAPR,989001002932168,2,59.00,A,18.50,Y,0,1801100280,pos,394.297632076905,18ARMI1544,,0,0,,
ThreeCreeks,2,10/3/18,RACA,982000408830571,99,46.00,SA,10.00,Y,0,1801100210,pos,420.0946055086,18ARMI1546,,0,0,,
DilmanMeadows,2,9/27/18,RAPR,982000408830589,1,45.50,A,6.50,Y,0,1801100180,pos,2334.75892409446,18ARMI1551,,0,0,,
DilmanMeadows,2,9/27/18,RAPR,989001002932174,2,67.00,A,36.00,Y,0,1801100183,pos,1219.56777039744,18ARMI1553,,0,0,,
DilmanMeadows,2,9/27/18,RAPR,989001002932208,1,54.00,A,16.00,Y,0,1801100179,pos,587.424848273377,18ARMI1554,,0,0,,
ThreeCreeks,2,10/2/18,RACA,982000408830539,99,43.00,SA,8.00,Y,0,1801100213,pos,4646.72579706549,18ARMI1555,,0,0,,
ThreeCreeks,2,10/3/18,RACA,982000408088125,2,71.00,A,37.00,Y,0,1801100208,pos,5413.01022997525,18ARMI1556,,0,0,,
ThreeCreeks,2,10/3/18,RACA,900224000114542,1,63.00,A,23.00,Y,0,1801100209,pos,2883.93297856754,18ARMI1557,,0,0,,
ThreeCreeks,2,10/2/18,RACA,982000408830580,1,56.00,A,17.00,Y,0,1801100281,pos,5854.26780749932,18ARMI1561,,0,0,,
DilmanMeadows,2,9/27/18,RAPR,982126052294153,2,45.00,SA,9.00,Y,0,1801100181,pos,443.93429228609,18ARMI1563,,0,0,,
DilmanMeadows,2,9/28/18,RAPR,982000408830527,99,40.00,SA,5.00,Y,0,1801100197,pos,137403.061452667,18ARMI1565,,0,0,,
ThreeCreeks,2,8/7/18,RACA,982126050416634,2,57.00,A,17.50,Y,0,1801100070,pos,387.1093304717,18ARMI1572,,0,0,,
DilmanMeadows,2,9/26/18,RAPR,989001002932216,2,62.00,A,27.00,Y,0,1801100186,pos,15198.3467979765,18ARMI1574,,0,0,,
ThreeCreeks,2,8/7/18,RACA,982126052698758,1,55.00,A,15.50,Y,0,1801100006,pos,5759.30253521615,18ARMI1581,,0,0,,
DilmanMeadows,2,9/26/18,RAPR,982126052296166,2,68.00,A,38.00,Y,0,1801100175,pos,4503.32769379674,18ARMI1583,,0,0,,
ThreeCreeks,2,8/7/18,RACA,982126052294825,1,55.00,A,20.00,Y,0,1801100112,pos,15543.9916071252,18ARMI1592,,0,0,,
ThreeCreeks,2,8/8/18,RACA,982126053067399,99,48.00,SA,11.00,Y,0,1801100008,pos,1406.237120475,18ARMI1595,,0,0,,
ThreeCreeks,2,8/8/18,RACA,982126053067756,99,49.00,SA,11.00,Y,0,1801100013,pos,3213.9602796951,18ARMI1607,,0,0,,
ThreeCreeks,2,8/7/18,RACA,985153000402037,2,80.00,A,47.40,Y,0,1801100009,pos,2652.06315032089,18ARMI1630,,0,0,,
ThreeCreeks,2,9/19/19,RACA,982000408088125,2,75.00,A,46.00,Y,0,1801100017,pos,26019.4064857584,19ARMI1966,,0,0,,
ThreeCreeks,2,8/9/19,RACA,972273000143771,2,76.00,A,59.00,N,0,1801100236,pos,,19ARMI1968,,0,1,pos with no copies/swab,
ThreeCreeks,2,9/18/19,RACA,982126053081294,2,65.00,A,30.00,Y,0,1801400011,pos,36358.5578698505,19ARMI1971,,0,0,,
ThreeCreeks,2,8/7/19,RACA,982000408830517,2,75.00,A,50.00,N,0,1801100252,pos,,19ARMI2640,,0,1,pos with no copies/swab,
ThreeCreeks,2,8/7/19,RACA,985153000402037,2,79.00,A,55.50,N,0,1801100253,pos,,19ARMI2656,,0,1,,
