Site,SubSite,CaptureDate,Species,IndividualID,SVLmm,Sex,Age,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/sawb,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
SanFrancisquito,1,11/3/20,RADR,605521281,99.0,F,A,102.0,Y,0,1903200095,pos,59751.7943949068,19ARMI1854,CJH20-045 -S33,0,,,
SanFrancisquito,1,11/3/20,RADR,845296080,74.0,M,A,47.0,Y,0,1903200096,pos,907.949130965886,,CJH20-045 -S32,0,,,
SanFrancisquito,1,11/3/20,RADR,605523779,72.0,F,A,43.5,Y,0,1903200097,pos,15364.9615860922,19ARMI1875,CJH20-045 -S30,0,,,
SanFrancisquito,1,11/3/20,RADR,836515890,94.0,F,A,105.0,Y,0,1903200098,pos,2409.10394716844,,CJH20-045 -S29,0,,,
SanFrancisquito,1,11/3/20,RADR,605317122,64.0,M,A,33.5,Y,0,1903200099,pos,145.101550426884,19ARMI1892,CJH20-045 -S27,0,,,
SanFrancisquito,1,11/3/20,RADR,053545060,78.0,M,A,67.0,Y,0,1903200100,pos,335.49424483289,,CJH20-045 -S26,0,,,
SanFrancisquito,1,11/3/20,RADR,845296001,92.0,F,A,79.0,Y,0,1903200101,pos,630.99598479296,,CJH20-045 -S25,0,,,
SanFrancisquito,1,11/3/20,RADR,845296532,92.0,F,A,93.0,Y,0,1903200102,pos,20001.492566509,,CJH20-045 -S24,0,,,
SanFrancisquito,1,11/3/20,RADR,845263382,85.0,F,A,69.0,Y,0,1903200103,pos,23539.291694052,,CJH20-045 -S23,0,,,
SanFrancisquito,1,11/3/20,RADR,845263089,79.0,M,A,44.5,Y,0,1903200104,neg,0,18ARMI1089,CJH20-045 -S21,0,,,
SanFrancisquito,1,11/3/20,RADR,845296075,72.0,M,A,44.0,Y,0,1903200105,neg,0,,CJH20-045 -S17,0,,,
SanFrancisquito,1,11/3/20,RADR,845263350,90.0,M,A,98.0,Y,0,1903200106,pos,163034.209221014,,CJH20-045 -S16,0,,,
SanFrancisquito,1,11/3/20,RADR,842802279,86.0,F,A,56.5,Y,0,1903200107,neg,0,,CJH20-045 -S15,0,,,
SanFrancisquito,1,11/3/20,RADR,605518520,78.0,M,A,53.0,Y,0,1903200108,pos,151569.761730045,18ARMI1106,CJH20-045 -S13,0,,,
SanFrancisquito,1,11/3/20,RADR,842802574,99.0,F,A,101.0,Y,0,1903200109,pos,133253.572039567,,CJH20-045 -S12,0,,,
SanFrancisquito,1,11/3/20,RADR,044034288,90.0,F,A,88.5,Y,0,1903200110,pos,21705.8036784393,,CJH20-045 -S7,0,,,
SanFrancisquito,1,11/3/20,RADR,605519068,65.0,M,A,48.5,Y,0,1903200111,pos,158542.234160225,,CJH20-045 -S3,0,,,
SanFrancisquito,1,11/3/20,RADR,845533599,71.0,M,A,61.0,Y,0,1903200112,pos,2983.8874691768,,CJH20-045 -S2,0,,,
SanFrancisquito,1,11/3/20,RADR,845296064,87.0,F,A,100.0,Y,0,1903200113,pos,56813.4263208378,,CJH20-045 -S1,0,,,
SanFrancisquito,1,8/31/20,RADR,845263618,80.0,M,A,52.0,Y,0,1903200169,pos,19.0568129557743,20ARMI0950,CJH20-040 -S1,0,,,
SanFrancisquito,1,8/31/20,RADR,836380350,100.0,F,A,112.0,Y,0,1903200170,pos,10320.4653466638,20ARMI0928,CJH20-040 -S2,0,,,
SanFrancisquito,1,8/31/20,RADR,836545292,100.0,F,A,132.0,Y,0,1903200171,pos,2154.37087716688,,CJH20-040 -S3,0,,,
SanFrancisquito,1,8/31/20,RADR,845263127,,M,A,,Y,0,1903200172,pos,2770.28452559315,20ARMI0930,CJH20-040 -S4,0,,,
SanFrancisquito,1,8/31/20,RADR,845263826,80.0,M,A,60.0,Y,0,1903200173,pos,171349.47028558,,CJH20-040 -S5,0,,,
SanFrancisquito,1,8/31/20,RADR,108005553,110.0,F,A,150.0,Y,0,1903200174,neg,0,,CJH20-040 -S10,0,,,
SanFrancisquito,1,8/31/20,RADR,845263842,85.0,F,A,55.0,Y,0,1903200175,pos,194106.822851268,20ARMI0913,CJH20-040 -S13,0,,,
SanFrancisquito,1,8/31/20,RADR,842802279,90.0,F,A,75.0,Y,0,1903200176,pos,90362.8455403488,,CJH20-040 -S15,0,,,
SanFrancisquito,1,8/31/20,RADR,845262825,75.0,M,A,46.0,Y,0,1903200177,pos,2523.36361353285,,CJH20-040 -S16,0,,,
SanFrancisquito,1,8/31/20,RADR,108014549,90.0,M,A,75.0,Y,0,1903200178,pos,20386.7914574031,,CJH20-040 -S19,0,,,
SanFrancisquito,1,8/31/20,RADR,845263051,100.0,F,A,95.0,Y,0,1903200179,pos,4391.20351318384,20ARMI0937,CJH20-040 -S21,0,,,
SanFrancisquito,1,8/31/20,RADR,836363273,110.0,F,A,125.0,Y,0,1903200180,pos,187349.109302634,20ARMI0917,CJH20-040 -S22,0,,,
SanFrancisquito,1,8/31/20,RADR,845263350,95.0,F,A,85.0,Y,0,1903200181,pos,105479.858230761,20ARMI0901,CJH20-040 -S24,0,,,
SanFrancisquito,1,8/31/20,RADR,836525271,105.0,F,A,100.0,Y,0,1903200182,pos,655540.527552644,,CJH20-040 -S25,0,,,
SanFrancisquito,1,8/31/20,RADR,845527851,78.0,M,A,42.0,Y,0,1903200183,pos,18875.872436603,,CJH20-040 -S26,0,,,
SanFrancisquito,1,8/31/20,RADR,845531050,85.0,F,A,72.0,Y,0,1903200184,pos,204424.367453643,20ARMI0912,CJH20-040 -S28,0,,,
SanFrancisquito,1,8/31/20,RADR,836517518,95.0,F,A,80.0,Y,0,1903200185,pos,47394.6659273169,,CJH20-040 -S29,0,,,
SanFrancisquito,1,8/31/20,RADR,845532866,90.0,F,A,75.0,Y,0,1903200186,pos,94.3909622433774,20ARMI0941,CJH20-040 -S30,0,,,
SanFrancisquito,1,8/31/20,RADR,845296382,75.0,M,A,45.0,Y,0,1903200187,pos,5995.57278734797,,CJH20-040 -S31,0,,,
SanFrancisquito,1,8/31/20,RADR,108005257,101.0,F,A,95.0,Y,0,1903200188,pos,4057.45658821075,,CJH20-040 -S33,0,,,
SanFrancisquito,1,8/31/20,RADR,845263872,80.0,M,A,60.0,Y,0,1903200189,pos,53945.9841103982,,CJH20-040 -S34,0,,,
SanFrancisquito,1,8/31/20,RADR,845263382,91.0,F,A,70.0,Y,0,1903200190,pos,114623.824272877,20ARMI0908,CJH20-040 -S35,0,,,
SanFrancisquito,1,8/31/20,RADR,845531284,86.0,F,A,74.0,Y,0,1903200191,pos,554.744349773687,20ARMI0938,CJH20-040 -S39,0,,,
SanFrancisquito,1,8/31/20,RADR,836515082,100.0,F,A,107.0,Y,0,1903200192,pos,98733.1105346199,20ARMI0911,CJH20-040 -S41,0,,,
SanFrancisquito,1,9/1/20,RADR,842789008,90.0,M,A,78.0,Y,0,1903200193,pos,2132.46192916235,20ARMI0926,CJH20-040 -S43,0,,,
SanFrancisquito,1,9/1/20,RADR,842802357,85.0,F,A,65.0,Y,0,1903200194,pos,4967.63535196932,20ARMI0915,CJH20-040 -S44,0,,,
SanFrancisquito,1,9/1/20,RADR,842805337,83.0,M,A,65.0,Y,0,1903200195,pos,245.718559146172,,CJH20-040 -S45,0,,,
SanFrancisquito,1,9/1/20,RADR,044056598,88.0,M,A,74.0,Y,0,1903200196,neg,0,,CJH20-040 -S46,0,,,
SanFrancisquito,1,9/1/20,RADR,845296621,90.0,F,A,85.0,Y,0,1903200197,pos,9254.3941535272,,CJH20-040 -S52,0,,,
SanFrancisquito,1,9/1/20,RADR,845533548,80.0,M,A,65.0,Y,0,1903200198,pos,68.6163951136656,20ARMI0924,CJH20-040 -S53,0,,,
SanFrancisquito,1,9/1/20,RADR,836534277,90.0,F,A,78.0,Y,0,1903200199,pos,65420.1762227783,,CJH20-040 -S55,0,,,
SanFrancisquito,1,9/1/20,RADR,845296562,88.0,F,A,65.0,Y,0,1903200200,pos,2425.57660222088,,"ARB18-020 -S71, Two swabs associated with ID. No swab for S58.",0,,,
SanFrancisquito,1,9/1/20,RADR,845533599,80.0,M,A,55.0,Y,0,1903200202,pos,2357.13947859782,20ARMI0933,CJH20-041 -S1,0,,,
SanFrancisquito,1,9/1/20,RADR,845263026,80.0,M,A,58.0,Y,0,1903200203,pos,66317.8778633074,,CJH20-041 -S2,0,,,
SanFrancisquito,1,9/1/20,RADR,845263618,74.0,M,A,48.0,Y,0,1903200204,pos,89994.1387706263,20ARMI0909,CJH20-041 -S3,0,,,
SanFrancisquito,1,9/1/20,RADR,836544312,90.0,F,A,100.0,Y,0,1903200205,pos,179966.158104874,,CJH20-041 -S18,0,,,
SanFrancisquito,1,9/1/20,RADR,845531056,65.0,M,A,36.5,Y,0,1903200206,pos,103415.852548333,20ARMI0925,CJH20-041 -S22,0,,,
SanFrancisquito,1,9/1/20,RADR,845528558,68.0,F,A,30.0,Y,0,1903200207,pos,1983.86017182778,20ARMI0898,CJH20-041 -S23,0,,,
SanFrancisquito,1,9/1/20,RADR,845530888,75.0,M,A,48.0,Y,0,1903200208,pos,3055.90982492939,20ARMI0907,CJH20-041 -S25,0,,,
SanFrancisquito,1,9/1/20,RADR,836521368,90.0,M,A,70.0,Y,0,1903200209,pos,6519.76559635945,20ARMI0905,CJH20-041 -S26,0,,,
SanFrancisquito,1,9/1/20,RADR,845535074,84.0,M,A,58.0,Y,0,1903200210,pos,8400.85957005033,20ARMI0904,CJH20-041 -S27,0,,,
