Site,SubSite,CaptureDate,Species,PondLocation,IndividualID,Sex,Age,SVLmm,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead,HP,Abundance,Area,Density,Temp,Temp_1w,Temp_2w,Temp_3w,Temp_4w,Air_Max,Air_Max1,Air_Max2,Air_Max3,Air_Max4,Site_temp,Site_temp1,Site_temp2,Site_temp3,Site_temp4
ScotiaBarrens,P2,7/9/2020,NOVI,NR,BORYOO,F,,42,,Y,0,2003000072,pos,4917.112823,,Incorrectly ID'd as BxRYOO. Changed to BORYOO due to measurements and sex.,,1,Wrong animal?,,Long,205.7463258,1196.051667,0.172021269,,,,,,24.95555556,24.64603175,21.88095238,20.8547619,17.92698413,23.55270023,22.62981448,20.03013674,19.20643204,17.38414236
ScotiaBarrens,P2,7/9/2020,NOVI,NR,RBRYOO,F,,44,,Y,0,2002100375,pos,3123.276544,,Incorrectly ID'd as RBxYOO since never recorded as new. Changed to RBRYOO based on sex and measurements.,,1,Wrong animal?,,Long,205.7463258,1196.051667,0.172021269,,,,,,24.95555556,24.64603175,21.88095238,20.8547619,17.92698413,23.55270023,22.62981448,20.03013674,19.20643204,17.38414236
ScotiaBarrens,SC38,5/17/2021,NOVI,,ORROYY,M,,35,,Y,0,2101300150,pos,668.1685371,,Maybe R or O or both; Origilly OR(RO)OYY. Changed to ORROYY due to similar measurements.,,1,Wrong animal?,,,,,,,,,,,,,,,,,,,,
ScotiaBarrens,SC37,5/20/2021,NOVI,,ORxxYB,F,,41,,Y,0,2101300410,pos,454.030363,,Missing pos. 5. Changed to ORxxYB due to sex and measurements,,1,Wrong animal?,,,,,,,,,,,,,,,,,,,,
ScotiaBarrens,A11,6/14/2021,NOVI,,YOOOBB,F,,43,,Y,0,2001400110,pos,115.0934391,,Either missing a mark or mismarked; Changed to YOOOBB,,1,Wrong animal?,,,,,,,,,,,,,,,,,,,,
ScotiaBarrens,SC37,7/12/2021,NOVI,,ORBRYB,F,,39,,Y,0,2001600365,pos,234.7521662,,Or ORBOYB. Changed to ORBRYB due to same sex.,,1,Wrong animal?,,,,,,,,,,,,,,,,,,,,
ScotiaBarrens,P1,6/26/2019,NOVI,D6,BOBRRR,F,,40,,Y,0,1903000206,neg,0,,Incorrectly ID'd as xOBRRR. Code was used in 2020. Changed to BOBRRR based on sex and SVL.,,1,Wrong animal?,,Long,434.8518028,560.6216667,0.775660001,20.92598397,20.00667216,16.93973581,18.50835158,17.90057228,23.31111111,21.15555556,17.48650794,19.43730159,17.19920635,20.95555346,19.47129036,16.6338466,17.95892822,17.32997457
ScotiaBarrens,SC36,6/28/2019,NOVI,NR,YRRBRO,F,,39,,Y,0,1903000374,neg,0,,Incorrectly ID'd or recorded as YRBBRO. Changed to YRRBRO. Nearby codes were new on same day and there was no new YRRBRO.,,1,Wrong animal?,,Long,475.6731759,1758.946667,0.270430699,,,,,,25.08333333,21.91031746,19.11111111,17.78809524,17.72777778,22.70501546,19.94554296,17.87098167,17.33323137,17.10504263
ScotiaBarrens,P1,3/16/2020,NOVI,D15,RRYRxx,F,,41,,Y,0,2003200023,neg,0,,Double-marked in 4th position. ID'd as RRY(RO)xx. Origil code is RRYRxx.,,1,Wrong animal?,,Long,441.5531583,560.6216667,0.787613438,6.860208333,,,,,2.661111111,,,,,6.326883681,,,,
ScotiaBarrens,A05,3/18/2020,NOVI,T2,RBOBRB,M,,43,,Y,0,2001400279,neg,0,,Incorrectly ID'd as RBxBRx. Position 3 and 6 lost? Tail code most likely to be RB since A05 is close to SC37. Changed code to RBOBRB.,,1,Wrong animal?,,Short,29.74,151.6716667,0.196081448,,,,,,4.583333333,5.403174603,,,,6.544775694,7.450321131,,,
