Region,State,Site,SubSite,Species,CaptureDate,PrimNum,SecNumConsec,Captures,Notes
NE,PA,ScotiaBarrens,A04,NOVI,3/19/2020,,,,
NE,PA,ScotiaBarrens,A04,NOVI,4/16/2020,,,,
NE,PA,ScotiaBarrens,A04,NOVI,5/17/2019,,,,
NE,PA,ScotiaBarrens,A04,NOVI,5/28/2019,,,,
NE,PA,ScotiaBarrens,A04,NOVI,5/28/2020,,,,
NE,PA,ScotiaBarrens,A04,NOVI,6/12/2020,,,,
NE,PA,ScotiaBarrens,A04,NOVI,6/9/2020,,,,
NE,PA,ScotiaBarrens,A05,NOVI,3/11/2020,,,,
NE,PA,ScotiaBarrens,A05,NOVI,3/18/2020,,,,
NE,PA,ScotiaBarrens,A05,NOVI,3/19/2020,,,,
NE,PA,ScotiaBarrens,A05,NOVI,3/20/2020,,,,
NE,PA,ScotiaBarrens,A05,NOVI,4/16/2020,,,,
NE,PA,ScotiaBarrens,A05,NOVI,4/6/2019,,,,
NE,PA,ScotiaBarrens,A05,NOVI,5/14/2020,,,,
NE,PA,ScotiaBarrens,A05,NOVI,5/17/2019,,,,
NE,PA,ScotiaBarrens,A05,NOVI,5/28/2019,,,,
NE,PA,ScotiaBarrens,A05,NOVI,6/18/2019,,,,
NE,PA,ScotiaBarrens,A10,NOVI,4/4/2019,,,,
NE,PA,ScotiaBarrens,A10,NOVI,5/16/2019,,,,
NE,PA,ScotiaBarrens,A10,NOVI,5/29/2019,,,,
NE,PA,ScotiaBarrens,A10,NOVI,6/11/2020,,,,
NE,PA,ScotiaBarrens,A10,NOVI,6/18/2020,,,,
NE,PA,ScotiaBarrens,A10,NOVI,6/19/2019,,,,
NE,PA,ScotiaBarrens,A10,NOVI,6/23/2020,,,,
NE,PA,ScotiaBarrens,A10,NOVI,6/27/2019,,,,
NE,PA,ScotiaBarrens,A10,NOVI,6/5/2020,,,,
NE,PA,ScotiaBarrens,A11,NOVI,3/11/2020,,,,
NE,PA,ScotiaBarrens,A11,NOVI,3/17/2020,,,,
NE,PA,ScotiaBarrens,A11,NOVI,3/18/2020,,,,
NE,PA,ScotiaBarrens,A11,NOVI,3/19/2020,,,,
NE,PA,ScotiaBarrens,A11,NOVI,3/20/2020,,,,
NE,PA,ScotiaBarrens,A11,NOVI,3/22/2021,,,,
