Site,SubSite,SUBDIST,SUBSITE,SUBCON,COUNTY,REGION,STATE,LAT,LONG,Precip_Mean.2017,Precip_SD.2017,Temp_Mean.2017,Temp_SD.2017,Precip_Mean.2018,Precip_SD.2018,Temp_Mean.2018,Temp_SD.2018,Precip_Mean.2019,Precip_SD.2019,Temp_Mean.2019,Temp_SD.2019,Precip_Mean.2020,Precip_SD.2020,Temp_Mean.2020,Temp_SD.2020
SPR,1,1,Y,N,Hampden,NE,MA,42.120761,-72.908288,3.71306849315068,9.49758595171062,8.35131506849315,9.9471310774734,5.36079452054795,10.5456280548054,8.30768493150685,10.4974648193731,4.15391780821918,8.4313991085283,7.7798904109589,10.1298669615295,3.72287671232877,8.58063698028915,9.12687671232877,9.33217273993282
SPR,2,1,Y,N,Hampden,NE,MA,42.117412,-72.903569,3.71306849315068,9.49758595171062,8.35131506849315,9.9471310774734,5.36079452054795,10.5456280548054,8.30768493150685,10.4974648193731,4.15391780821918,8.4313991085283,7.7798904109589,10.1298669615295,3.72287671232877,8.58063698028915,9.12687671232877,9.33217273993282
SPR,3,1,Y,N,Hampden,NE,MA,42.117590,-72.905900,3.71306849315068,9.49758595171062,8.35131506849315,9.9471310774734,5.36079452054795,10.5456280548054,8.30768493150685,10.4974648193731,4.15391780821918,8.4313991085283,7.7798904109589,10.1298669615295,3.72287671232877,8.58063698028915,9.12687671232877,9.33217273993282
FoxCreek,P-850A,1,Y,Y,Mendocino,NoCal,CA,39.740289,-123.632231,5.51397260273973,13.0306271449403,12.9216164383562,5.98218435524755,3.73972602739726,10.118313580086,12.8210273972603,5.34254123170183,5.13991780821918,12.3778546599254,12.9922876712329,5.56895723237564,2.27542465753425,6.51706219190262,13.6686849315068,5.85265732094347
FoxCreek,P-850B/C,1,Y,Y,Mendocino,NoCal,CA,39.742225,-123.627405,5.51397260273973,13.0306271449403,12.9216164383562,5.98218435524755,3.73972602739726,10.118313580086,12.8210273972603,5.34254123170183,5.13991780821918,12.3778546599254,12.9922876712329,5.56895723237564,2.27542465753425,6.51706219190262,13.6686849315068,5.85265732094347
FoxCreek,P-850D,1,Y,Y,Mendocino,NoCal,CA,39.742892,-123.624143,5.51397260273973,13.0306271449403,12.9216164383562,5.98218435524755,3.73972602739726,10.118313580086,12.8210273972603,5.34254123170183,5.13991780821918,12.3778546599254,12.9922876712329,5.56895723237564,2.27542465753425,6.51706219190262,13.6686849315068,5.85265732094347
SonomaMountain,P-899,NA,N,N,Sonoma,NoCal,CA,38.330268,-122.582072,4.61898630136986,12.2997426405814,14.1147808219178,5.92906265928798,2.67802739726027,8.26658585526964,13.7879452054795,5.09837941794224,4.62509589041096,13.192940682451,13.5753561643836,5.6711916964086,1.44232876712329,5.08498795760402,14.2978493150685,5.67070614696738
SummitMeadow,Y-029,2,Y,N,Mariposa,NoCal,CA,37.673073,-119.652549,4.93682191780822,14.1515912118775,8.6687397260274,7.57444657070079,2.89879452054795,9.65686174502914,8.829,7.51450288434978,3.68043835616438,9.47895441124141,7.28216438356164,7.67729557969203,1.55504109589041,5.19927845912865,9.25483561643836,7.84980833568373
SummitMeadow,Y-1526,2,Y,N,Mariposa,NoCal,CA,37.681135,-119.648664,4.93682191780822,14.1515912118775,8.6687397260274,7.57444657070079,2.89879452054795,9.65686174502914,8.829,7.51450288434978,3.68043835616438,9.47895441124141,7.28216438356164,7.67729557969203,1.55504109589041,5.19927845912865,9.25483561643836,7.84980833568373
SummitMeadow,Y-1526A,2,Y,N,Mariposa,NoCal,CA,37.681365,-119.648048,4.93682191780822,14.1515912118775,8.6687397260274,7.57444657070079,2.89879452054795,9.65686174502914,8.829,7.51450288434978,3.68043835616438,9.47895441124141,7.28216438356164,7.67729557969203,1.55504109589041,5.19927845912865,9.25483561643836,7.84980833568373
SummitMeadow,Y-1687,2,Y,N,Mariposa,NoCal,CA,37.678409,-119.650880,4.93682191780822,14.1515912118775,8.6687397260274,7.57444657070079,2.89879452054795,9.65686174502914,8.829,7.51450288434978,3.68043835616438,9.47895441124141,7.28216438356164,7.67729557969203,1.55504109589041,5.19927845912865,9.25483561643836,7.84980833568373
DilmanMeadows,1,1,Y,Y,Deschutes,PNW,OR,44.104747,-121.635093,3.97887671232877,7.62591083362838,4.78641095890411,7.87431562495548,2.51643835616438,5.80936269931144,4.84987671232877,7.00833651341799,3.42652054794521,8.00090271024682,4.14205479452055,6.9658192482426,2.77293150684932,6.30799801126562,5.25541095890411,7.17712618080971
DilmanMeadows,2,1,Y,Y,Deschutes,PNW,OR,44.102866,-121.640409,3.97887671232877,7.62591083362838,4.78641095890411,7.87431562495548,2.51643835616438,5.80936269931144,4.84987671232877,7.00833651341799,3.42652054794521,8.00090271024682,4.14205479452055,6.9658192482426,2.77293150684932,6.30799801126562,5.25541095890411,7.17712618080971
DilmanMeadows,3,1,Y,Y,Deschutes,PNW,OR,44.101420,-121.642228,3.97887671232877,7.62591083362838,4.78641095890411,7.87431562495548,2.51643835616438,5.80936269931144,4.84987671232877,7.00833651341799,3.42652054794521,8.00090271024682,4.14205479452055,6.9658192482426,2.77293150684932,6.30799801126562,5.25541095890411,7.17712618080971
ThreeCreeks,4,1,Y,N,Deschutes,PNW,OR,43.700572,-121.663596,1.51397260273973,3.22683900191848,7.93746575342466,8.56803805918115,1.03797260273973,3.00114332596489,8.23141095890411,7.52107624662667,1.66164383561644,4.8631533470778,7.35068493150685,7.71177975046551,1.56358904109589,3.91086167058782,8.50519178082192,7.77270028647309
ThreeCreeks,5,1,Y,N,Deschutes,PNW,OR,43.699560,-121.663283,1.51397260273973,3.22683900191848,7.93746575342466,8.56803805918115,1.03797260273973,3.00114332596489,8.23141095890411,7.52107624662667,1.66164383561644,4.8631533470778,7.35068493150685,7.71177975046551,1.56358904109589,3.91086167058782,8.50519178082192,7.77270028647309
ThreeCreeks,6,1,Y,N,Deschutes,PNW,OR,43.699350,-121.661550,1.51397260273973,3.22683900191848,7.93746575342466,8.56803805918115,1.03797260273973,3.00114332596489,8.23141095890411,7.52107624662667,1.66164383561644,4.8631533470778,7.35068493150685,7.71177975046551,1.56358904109589,3.91086167058782,8.50519178082192,7.77270028647309
ThreeCreeks,7,1,Y,N,Deschutes,PNW,OR,43.699636,-121.664460,1.51397260273973,3.22683900191848,7.93746575342466,8.56803805918115,1.03797260273973,3.00114332596489,8.23141095890411,7.52107624662667,1.66164383561644,4.8631533470778,7.35068493150685,7.71177975046551,1.56358904109589,3.91086167058782,8.50519178082192,7.77270028647309
JonesPond,1,NA,N,N,Missoula,RMN,MT,46.896303,-113.441379,1.7226301369863,4.23924031496097,6.59946575342466,9.91046476560963,1.89065753424658,3.93983719827083,6.37265753424658,8.88040353568298,1.45438356164384,3.21875316549567,5.35364383561644,9.90684392055336,1.51416438356164,3.60058949314949,6.65894520547945,8.55934029194149
LostHorse,1,NA,N,N,Ravalli,RMN,MT,46.097140,-114.264030,2.47794520547945,4.93893689869561,7.25108219178082,9.24703009904081,2.2601095890411,3.87837828477643,7.37115068493151,8.30485535310657,1.67531506849315,3.48224708332999,6.3452602739726,9.00256085365879,1.97879452054795,3.95081250149231,7.29839726027397,8.30107901059268
TwoMedicine,1,1,Y,Y,Glacier,RMN,MT,48.479100,-113.369500,2.92487671232877,5.94249677413312,4.16865753424658,10.2661306258979,2.61230136986301,4.87630711325413,3.82013698630137,8.92437693567312,2.89646575342466,5.07257486603094,2.85371232876712,9.86523052631552,2.90035616438356,4.71481090880276,4.32631506849315,8.92746456394922
TwoMedicine,2,1,Y,Y,Glacier,RMN,MT,48.478200,-113.370800,2.92487671232877,5.94249677413312,4.16865753424658,10.2661306258979,2.61230136986301,4.87630711325413,3.82013698630137,8.92437693567312,2.89646575342466,5.07257486603094,2.85371232876712,9.86523052631552,2.90035616438356,4.71481090880276,4.32631506849315,8.92746456394922
TwoMedicine,3,1,Y,Y,Glacier,RMN,MT,48.479600,-113.368100,2.92487671232877,5.94249677413312,4.16865753424658,10.2661306258979,2.61230136986301,4.87630711325413,3.82013698630137,8.92437693567312,2.89646575342466,5.07257486603094,2.85371232876712,9.86523052631552,2.90035616438356,4.71481090880276,4.32631506849315,8.92746456394922
TwoMedicine,5,1,Y,Y,Glacier,RMN,MT,48.477800,-113.373400,2.92487671232877,5.94249677413312,4.16865753424658,10.2661306258979,2.61230136986301,4.87630711325413,3.82013698630137,8.92437693567312,2.89646575342466,5.07257486603094,2.85371232876712,9.86523052631552,2.90035616438356,4.71481090880276,4.32631506849315,8.92746456394922
LilyPond,1,NA,N,N,Larimer,RMS,CO,40.573900,-105.844366,2.43591780821918,4.88865484586682,2.94194520547945,7.69823831333231,2.06082191780822,3.96496932398948,2.50764383561644,8.54808436764138,2.4173698630137,4.36876031498051,1.84864383561644,8.61850288873469,1.88468493150685,3.79745110031062,2.4527397260274,8.82807414007895
MatthewsPond,1,NA,N,N,Larimer,RMS,CO,40.595400,-105.845866,2.08556164383562,4.26986064376884,3.84116438356164,7.77839786184016,1.68068493150685,3.3427344241921,3.43232876712329,8.64166549190796,2.042,3.91437104262494,2.69008219178082,8.77119415096287,1.59780821917808,3.40350185150955,3.42991780821918,8.96158715637793
Blackrock-H,HE,2,Y,Y,Teton,RMS,WY,43.845270,-110.329800,2.86347945205479,5.28738314787771,3.70701369863014,9.09216559041014,1.95515068493151,3.7020958263464,3.34606849315068,9.34523824408465,2.04476712328767,4.09313768559059,2.56986301369863,9.47371738008195,2.12090410958904,3.86534767412696,3.06001369863014,9.55385831600717
Blackrock-C,ML,2,Y,Y,Teton,RMS,WY,43.831890,-110.355000,2.89167123287671,5.31043216525031,3.78943835616438,9.1764455563728,1.7921095890411,3.47051239036738,3.43842465753425,9.41669572060419,2.06443835616438,4.16500241080858,2.60982191780822,9.59890699813572,1.97747945205479,3.69286432543732,3.10969863013699,9.64811098160268
Blackrock-C,MW,2,Y,Y,Teton,RMS,WY,43.834067,-110.352063,2.89167123287671,5.31043216525031,3.78943835616438,9.1764455563728,1.7921095890411,3.47051239036738,3.43842465753425,9.41669572060419,2.06443835616438,4.16500241080858,2.60982191780822,9.59890699813572,1.97747945205479,3.69286432543732,3.10969863013699,9.64811098160268
Blackrock-C,OX,2,Y,Y,Teton,RMS,WY,43.834320,-110.346700,2.89167123287671,5.31043216525031,3.78943835616438,9.1764455563728,1.7921095890411,3.47051239036738,3.43842465753425,9.41669572060419,2.06443835616438,4.16500241080858,2.60982191780822,9.59890699813572,1.97747945205479,3.69286432543732,3.10969863013699,9.64811098160268
Blackrock-C,QU,2,Y,Y,Teton,RMS,WY,43.832940,-110.354700,2.89167123287671,5.31043216525031,3.78943835616438,9.1764455563728,1.7921095890411,3.47051239036738,3.43842465753425,9.41669572060419,2.06443835616438,4.16500241080858,2.60982191780822,9.59890699813572,1.97747945205479,3.69286432543732,3.10969863013699,9.64811098160268
Blackrock-C,SP,2,Y,Y,Teton,RMS,WY,43.829930,-110.354500,2.89167123287671,5.31043216525031,3.78943835616438,9.1764455563728,1.7921095890411,3.47051239036738,3.43842465753425,9.41669572060419,2.06443835616438,4.16500241080858,2.60982191780822,9.59890699813572,1.97747945205479,3.69286432543732,3.10969863013699,9.64811098160268
SMNWR_W,SMNWR0124,1,Y,Y,Wakulla,SE,FL,30.149952,-84.152982,5.36591780821918,14.3177252990997,21.3439452054795,5.90113944549958,6.60194520547945,14.1483820104446,20.9780547945205,6.86859221241921,3.89142465753425,9.20018995551299,21.413301369863,6.45560601568945,5.01632876712329,13.2929832230594,21.4578219178082,6.33639068870898
SMNWR_E,SMNWR0145,1,Y,Y,Wakulla,SE,FL,30.134960,-84.082174,5.74701369863014,15.3681704607364,21.3519452054795,5.8702406298153,6.57172602739726,13.8719337382723,20.9988904109589,6.83796782067075,3.81619178082192,9.23084178869697,21.4227534246575,6.41465142514124,5.34098630136986,14.001792020801,21.4625479452055,6.31879467580449
SMNWR_E,SMNWR1601,1,Y,Y,Wakulla,SE,FL,30.134574,-84.082756,5.74701369863014,15.3681704607364,21.3519452054795,5.8702406298153,6.57172602739726,13.8719337382723,20.9988904109589,6.83796782067075,3.81619178082192,9.23084178869697,21.4227534246575,6.41465142514124,5.34098630136986,14.001792020801,21.4625479452055,6.31879467580449
SMNWR_W,SMNWR3001,1,Y,Y,Wakulla,SE,FL,30.149727,-84.154066,5.36591780821918,14.3177252990997,21.3439452054795,5.90113944549958,6.60194520547945,14.1483820104446,20.9780547945205,6.86859221241921,3.89142465753425,9.20018995551299,21.413301369863,6.45560601568945,5.01632876712329,13.2929832230594,21.4578219178082,6.33639068870898
SanFrancisquito,1,NA,N,N,Los Angeles,SoCal,CA,34.546620,-118.513500,1.05065753424658,4.74684963260822,19.0583287671233,6.69184102827161,0.774356164383562,3.78897249463573,18.7401780821918,6.50007314274668,1.73879452054795,5.2848241338047,17.146602739726,6.90605076658519,0.846520547945205,3.92460709907776,18.6814931506849,6.98423446591075
