Site,SubSite,Species,CaptureDate,IndividualID,Sex,Age,SVLmm,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
JonesPond,1,ANBO,5/18/2020,147339277A,F,,,,N,,,,,,caught on 5/17/20,0,0,,
JonesPond,1,ANBO,5/25/2020,147339277A,F,,,,N,,,,,,caught on 5/17/20,0,0,,
JonesPond,1,ANBO,5/9/2019,147339667A,M,,77,46,Y,0,1902400126,pos,47.52,19ARMI1427,,0,0,,
JonesPond,1,ANBO,5/10/2019,147339667A,M,,77,46,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/2/2018,147344220A,M,,73,46.6,Y,0,1800200277,neg,0,18ARMI0686,,0,0,,
JonesPond,1,ANBO,5/3/2018,147344220A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,147344220A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/9/2019,147344625A,M,,66,47.4,Y,0,1902400144,pos,4322916.21,,,0,0,,
JonesPond,1,ANBO,5/10/2019,147344625A,M,,66,47.4,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/2/2018,147344625A,M,,67,37.1,Y,0,1800200293,neg,0,18ARMI0706,,0,0,,
JonesPond,1,ANBO,5/3/2018,147344625A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,147344625A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/9/2019,147344631A,M,,82,51.6,Y,0,1902400134,pos,107.66,19ARMI1393,,0,0,,
JonesPond,1,ANBO,5/10/2019,147344631A,M,,82,51.6,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/14/2019,147344631A,M,,82,51.6,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/2/2018,147344685A,M,,80,71.6,Y,0,1800200280,neg,0,18ARMI0695,,0,0,,
JonesPond,1,ANBO,5/3/2018,147344685A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,147344685A,M,,,,N,,,,,,,0,0,,
